_sig_date,종목코드,종목명,in_inter,_ref_price,d1_close,d2_close,d1_chg_pct,d2_chg_pct,d2_vs_d0_pct,pattern
2026-05-07,010170,대한광통신,True,21800.0,22350.0,27950.0,2.52,25.06,28.21,D1상승+D2상승
2026-05-07,028050,삼성E&A,True,64900.0,62400.0,58600.0,-3.85,-6.09,-9.71,D1눌림+D2추가하락
2026-05-07,017550,수산세보틱스,False,3860.0,3600.0,3235.0,-6.74,-10.14,-16.19,D1눌림+D2추가하락
2026-05-07,138080,오이솔루션,False,54000.0,53300.0,51800.0,-1.3,-2.81,-4.07,D1눌림+D2추가하락
2026-05-07,178320,서진시스템,False,68100.0,66100.0,67500.0,-2.94,2.12,-0.88,D1눌림+D2반등
2026-05-08,319400,현대무벡스,True,37900.0,38700.0,42500.0,2.11,9.82,12.14,D1상승+D2상승
2026-05-08,012330,현대모비스,False,514000.0,553000.0,548000.0,7.59,-0.9,6.61,D1상승+D2하락
2026-05-08,277810,레인보우로보틱스,False,783000.0,865000.0,855000.0,10.47,-1.16,9.2,D1상승+D2하락
2026-05-08,001440,대한전선,False,72300.0,70500.0,67200.0,-2.49,-4.68,-7.05,D1눌림+D2추가하락
2026-05-09,319400,현대무벡스,True,37950.0,38700.0,42500.0,1.98,9.82,11.99,D1상승+D2상승
2026-05-09,277810,레인보우로보틱스,False,784000.0,865000.0,855000.0,10.33,-1.16,9.06,D1상승+D2하락
2026-05-09,001440,대한전선,False,72300.0,70500.0,67200.0,-2.49,-4.68,-7.05,D1눌림+D2추가하락
2026-05-11,010170,대한광통신,True,27950.0,29100.0,24750.0,4.11,-14.95,-11.45,D1상승+D2하락
2026-05-11,018880,한온시스템,True,5730.0,5160.0,5040.0,-9.95,-2.33,-12.04,D1눌림+D2추가하락
2026-05-11,108490,로보티즈,False,377500.0,345000.0,355500.0,-8.61,3.04,-5.83,D1눌림+D2반등
2026-05-11,295310,에이치브이엠,False,106100.0,98200.0,96000.0,-7.45,-2.24,-9.52,D1눌림+D2추가하락
2026-05-12,066570,LG전자,True,184900.0,191400.0,217000.0,3.52,13.38,17.36,D1상승+D2상승
2026-05-12,000500,가온전선,False,564000.0,505000.0,399000.0,-10.46,-20.99,-29.26,D1눌림+D2추가하락
2026-05-13,012330,현대모비스,False,649000.0,650000.0,629000.0,0.15,-3.23,-3.08,D1상승+D2하락
2026-05-13,356680,엑스게이트,False,20100.0,19030.0,16360.0,-5.32,-14.03,-18.61,D1눌림+D2추가하락
2026-05-14,080220,제주반도체,True,75600.0,82300.0,92600.0,8.86,12.52,22.49,D1상승+D2상승
2026-05-14,064400,LG씨엔에스,False,86100.0,86600.0,81300.0,0.58,-6.12,-5.57,D1상승+D2하락
2026-05-14,090460,비에이치,False,37500.0,33150.0,32350.0,-11.6,-2.41,-13.73,D1눌림+D2추가하락
2026-05-14,066570,LG전자,False,217000.0,240500.0,217000.0,10.83,-9.77,0.0,D1상승+D2하락
2026-05-15,454910,두산로보틱스,True,127400.0,117900.0,100100.0,-7.46,-15.1,-21.43,D1눌림+D2추가하락
2026-05-15,067310,하나마이크론,True,52900.0,48950.0,47550.0,-7.47,-2.86,-10.11,D1눌림+D2추가하락
2026-05-18,027360,아주IB투자,True,17010.0,17280.0,15520.0,1.59,-10.19,-8.76,D1상승+D2하락
2026-05-18,100790,미래에셋벤처투자,True,67400.0,60800.0,54100.0,-9.79,-11.02,-19.73,D1눌림+D2추가하락
2026-05-18,295310,에이치브이엠,False,125300.0,115400.0,94200.0,-7.9,-18.37,-24.82,D1눌림+D2추가하락
2026-05-18,347700,스피어,False,48150.0,46900.0,40050.0,-2.6,-14.61,-16.82,D1눌림+D2추가하락
2026-05-18,006260,LS,False,528000.0,541000.0,500000.0,2.46,-7.58,-5.3,D1상승+D2하락
2026-05-19,356680,엑스게이트,True,19000.0,16460.0,17070.0,-13.37,3.71,-10.16,D1눌림+D2반등
2026-05-20,001820,삼화콘덴서,True,78600.0,78500.0,102000.0,-0.13,29.94,29.77,D1눌림+D2완전회복
2026-05-20,005950,이수화학,False,14080.0,15850.0,16240.0,12.57,2.46,15.34,D1상승+D2상승
2026-05-20,080220,제주반도체,False,94800.0,117800.0,118700.0,24.26,0.76,25.21,D1상승+D2상승
